# Pg [torr], Vb [V], L [m], Miss% [%], Sput% [%], SputY [-]
1.000000000000000021e-08,6.000000000000000000e+02,2.999999999999999889e-01,4.400000000000000265e-03,2.187320000000000064e+01,2.187416246314837776e-01
1.000000000000000021e-08,6.000000000000000000e+02,5.999999999999999778e-01,8.899999999999999925e-03,2.188629999999999853e+01,2.188824805407681151e-01
1.000000000000000021e-08,6.000000000000000000e+02,1.199999999999999956e+00,1.979999999999999816e-02,2.186210000000000164e+01,2.186642955305150293e-01
1.000000000000000021e-08,6.000000000000000000e+02,2.399999999999999911e+00,4.370000000000000273e-02,2.185410000000000252e+01,2.186365441698022161e-01
1.000000000000000021e-08,6.000000000000000000e+02,4.799999999999999822e+00,8.530000000000000082e-02,2.184869999999999735e+01,2.186735285198274092e-01
1.000000000000000021e-08,6.000000000000000000e+02,9.599999999999999645e+00,1.733999999999999986e-01,2.182560000000000144e+01,2.186351132864386981e-01
1.000000000000000021e-08,6.000000000000000000e+02,1.919999999999999929e+01,3.288999999999999702e-01,2.180320000000000036e+01,2.187514735966594182e-01
1.000000000000000021e-08,9.000000000000000000e+02,1.499999999999999944e-01,2.200000000000000133e-03,3.490630000000000166e+01,3.490706795549501917e-01
1.000000000000000021e-08,9.000000000000000000e+02,2.999999999999999889e-01,6.300000000000000044e-03,3.501350000000000051e+01,3.501570598947733592e-01
1.000000000000000021e-08,9.000000000000000000e+02,5.999999999999999778e-01,9.499999999999999764e-03,3.499940000000000140e+01,3.500272525889959740e-01
1.000000000000000021e-08,9.000000000000000000e+02,1.199999999999999956e+00,1.910000000000000239e-02,3.489709999999999468e+01,3.490376661942430903e-01
1.000000000000000021e-08,9.000000000000000000e+02,2.399999999999999911e+00,4.200000000000000261e-02,3.495929999999999893e+01,3.497398907541167112e-01
1.000000000000000021e-08,9.000000000000000000e+02,4.799999999999999822e+00,8.509999999999999509e-02,3.500010000000000332e+01,3.502991045379618140e-01
1.000000000000000021e-08,9.000000000000000000e+02,9.599999999999999645e+00,1.565999999999999892e-01,3.496349999999999625e+01,3.501833871843306745e-01
1.000000000000000021e-08,9.000000000000000000e+02,1.919999999999999929e+01,3.215000000000000080e-01,3.488109999999999644e+01,3.499360443826903255e-01
1.000000000000000021e-08,1.200000000000000000e+03,1.499999999999999944e-01,2.099999999999999870e-03,4.888770000000000238e+01,4.888872666325992933e-01
1.000000000000000021e-08,1.200000000000000000e+03,2.999999999999999889e-01,4.300000000000000003e-03,4.895250000000000057e+01,4.895460504801706358e-01
1.000000000000000021e-08,1.200000000000000000e+03,5.999999999999999778e-01,8.800000000000000530e-03,4.887129999999999797e+01,4.887560105289265322e-01
1.000000000000000021e-08,1.200000000000000000e+03,1.199999999999999956e+00,1.940000000000000058e-02,4.883759999999999479e+01,4.884707633280856443e-01
1.000000000000000021e-08,1.200000000000000000e+03,2.399999999999999911e+00,4.309999999999999942e-02,4.883719999999999573e+01,4.885825790915884759e-01
1.000000000000000021e-08,1.200000000000000000e+03,4.799999999999999822e+00,7.969999999999999307e-02,4.879860000000000042e+01,4.883752350623447036e-01
1.000000000000000021e-08,1.200000000000000000e+03,9.599999999999999645e+00,1.607999999999999985e-01,4.874680000000000035e+01,4.882531110024920240e-01
1.000000000000000021e-08,1.200000000000000000e+03,1.919999999999999929e+01,3.045999999999999819e-01,4.881320000000000192e+01,4.896233928546352421e-01
1.000000000000000021e-08,1.500000000000000000e+03,1.499999999999999944e-01,2.000000000000000042e-03,6.325520000000000209e+01,6.325646512930258591e-01
1.000000000000000021e-08,1.500000000000000000e+03,2.999999999999999889e-01,4.800000000000000447e-03,6.334990000000000521e+01,6.335294094116518115e-01
1.000000000000000021e-08,1.500000000000000000e+03,5.999999999999999778e-01,8.600000000000000006e-03,6.328029999999999688e+01,6.328574257386134772e-01
1.000000000000000021e-08,1.500000000000000000e+03,1.199999999999999956e+00,2.009999999999999981e-02,6.332609999999999673e+01,6.333883110505211800e-01
1.000000000000000021e-08,1.500000000000000000e+03,2.399999999999999911e+00,3.579999999999999849e-02,6.338080000000000069e+01,6.340349845244597216e-01
1.000000000000000021e-08,1.500000000000000000e+03,4.799999999999999822e+00,6.719999999999999585e-02,6.330510000000000304e+01,6.334766963399404149e-01
1.000000000000000021e-08,1.500000000000000000e+03,9.599999999999999645e+00,1.476999999999999980e-01,6.324760000000000559e+01,6.334115488576628206e-01
1.000000000000000021e-08,1.500000000000000000e+03,1.919999999999999929e+01,3.005999999999999783e-01,6.305760000000000076e+01,6.324772265429882134e-01
